abbr,year,name,min_wage,state_min_wage,fed_min_wage,unemp_rate,emp_lh,min_wage_lag,mw_increase,first_treat_year,g,post,event_time,ln_emp_lh
AK,1990,Alaska,3.85,3.85,3.35,7.25,20.916666666666668,NA,0,1991,1991,0,-1,3.0405462893437836
AK,1991,Alaska,4.3,4.3,3.8,8.308333333333334,21.141666666666666,3.85,1,1991,1991,1,0,3.051245816817236
AK,1992,Alaska,4.75,4.75,4.25,8.85,21.416666666666668,4.3,1,1991,1991,1,1,3.0641694351072197
AK,1993,Alaska,4.75,4.75,4.25,7.816666666666666,21.925,4.75,0,1991,1991,1,2,3.0876275382582468
AK,1994,Alaska,4.75,4.75,4.25,7.55,23.183333333333334,4.75,0,1991,1991,1,3,3.143433629701342
AK,1995,Alaska,4.75,4.75,4.25,7.316666666666666,23.983333333333334,4.75,0,1991,1991,1,4,3.1773591446652674
AK,1996,Alaska,4.75,4.75,4.25,7.458333333333333,24.4,4.75,0,1991,1991,1,5,3.1945831322991562
AK,1997,Alaska,5.25,5.25,4.75,6.983333333333333,25.28333333333333,4.75,1,1991,1991,1,6,3.2301454171264314
AK,1998,Alaska,5.65,5.65,5.15,6.316666666666666,26.1,5.25,1,1991,1991,1,7,3.261935314328648
AK,1999,Alaska,5.65,5.65,5.15,6.35,26.991666666666667,5.65,0,1991,1991,1,8,3.295528176389283
AK,2000,Alaska,5.65,5.65,5.15,6.291666666666667,27.925,5.65,0,1991,1991,1,9,3.3295223449552642
AK,2001,Alaska,5.65,5.65,5.15,6.283333333333333,28.266666666666666,5.65,0,1991,1991,1,10,3.3416832541297476
AK,2002,Alaska,5.65,5.65,5.15,7.166666666666667,29.28333333333333,5.65,0,1991,1991,1,11,3.3770185259649965
AK,2003,Alaska,7.15,7.15,5.15,7.675,29.641666666666666,5.65,1,1991,1991,1,12,3.389181029166409
AK,2004,Alaska,7.15,7.15,5.15,7.416666666666667,30.158333333333335,7.15,0,1991,1991,1,13,3.4064612807816963
AK,2005,Alaska,7.15,7.15,5.15,6.925,30.958333333333332,7.15,0,1991,1991,1,14,3.4326422143698134
AK,2006,Alaska,7.15,7.15,5.15,6.616666666666667,31.483333333333334,7.15,0,1991,1991,1,15,3.4494583052794088
AK,2007,Alaska,7.15,7.15,5.15,6.25,32.05,7.15,0,1991,1991,1,16,3.467297183366679
